"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1064","test_create_course","tests","Thu Jun 19 13:08:54 IST 2025","passed","Thu Jun 19 13:08:55 IST 2025","TestSessionAPI","test_learn","",""
"Test case to check if the token changes with each login attempt.","3988","test_multiple_login_attempts_customerAdmin","tests","Wed Apr 09 15:12:56 IST 2025","passed","Wed Apr 09 15:13:00 IST 2025","TestSessionAPI","test_loginAPI","",""
"Test case for login attempt with invalid credentials.","1899","test_login_with_invalid_credentials_customerAdmin","tests","Wed Apr 09 15:12:52 IST 2025","passed","Wed Apr 09 15:12:54 IST 2025","TestSessionAPI","test_loginAPI","",""
"","1332","test_submitFeedback_with_noData","tests","Wed Apr 09 15:13:23 IST 2025","passed","Wed Apr 09 15:13:24 IST 2025","TestSessionAPI","test_loginAPI","",""
"","6038","test_uploadNew_Content","tests","Thu Jun 19 13:09:01 IST 2025","passed","Thu Jun 19 13:09:07 IST 2025","TestSessionAPI","test_learn","",""
"Test case to verify API response for an expired token.","1006","test_login_expired_token","tests","Wed Apr 09 15:13:33 IST 2025","passed","Wed Apr 09 15:13:34 IST 2025","TestSessionAPI","test_loginAPI","",""
"Test case for login attempt with invalid credentials.","1985","test_login_with_invalid_credentials_coaches","tests","Wed Apr 09 15:13:02 IST 2025","passed","Wed Apr 09 15:13:04 IST 2025","TestSessionAPI","test_loginAPI","",""
"","7344","test_maxLoginAttempts_with_incorrect_password","tests","Wed Apr 09 15:13:25 IST 2025","passed","Wed Apr 09 15:13:32 IST 2025","TestSessionAPI","test_loginAPI","",""
"","6870","test_addCourseTo_cohort","tests","Thu Jun 19 13:09:27 IST 2025","failed","Thu Jun 19 13:09:34 IST 2025","TestSessionAPI","test_learn","",""
"Test case to call the delete_courses function and validate deletion.","5717","test_successful_login","tests","Thu Jun 19 13:08:48 IST 2025","passed","Thu Jun 19 13:08:54 IST 2025","TestSessionAPI","test_learn","",""
"","0","test_submitFeedback","tests","Wed Apr 09 15:13:23 IST 2025","passed","Wed Apr 09 15:13:23 IST 2025","TestSessionAPI","test_loginAPI","",""
"Test case for login attempt with missing credentials.","1955","test_login_with_missing_credentials_admin","tests","Wed Apr 09 15:13:16 IST 2025","passed","Wed Apr 09 15:13:18 IST 2025","TestSessionAPI","test_loginAPI","",""
"Test case to check if the token changes with each login attempt.","4907","test_multiple_login_attempts_coaches","tests","Wed Apr 09 15:13:06 IST 2025","passed","Wed Apr 09 15:13:11 IST 2025","TestSessionAPI","test_loginAPI","",""
"Test case for login attempt with invalid credentials.","1984","test_login_with_invalid_credentials_admin","tests","Wed Apr 09 15:13:14 IST 2025","passed","Wed Apr 09 15:13:16 IST 2025","TestSessionAPI","test_loginAPI","",""
"Test case for login attempt with missing credentials.","2055","test_login_with_missing_credentials_customerAdmin","tests","Wed Apr 09 15:12:54 IST 2025","passed","Wed Apr 09 15:12:56 IST 2025","TestSessionAPI","test_loginAPI","",""
"","1","test_forgetPassword","tests","Wed Apr 09 15:13:24 IST 2025","passed","Wed Apr 09 15:13:24 IST 2025","TestSessionAPI","test_loginAPI","",""
"Test case for a successful login with valid credentials.","2356","test_successful_login_customerAdmin","tests","Wed Apr 09 15:12:50 IST 2025","passed","Wed Apr 09 15:12:52 IST 2025","TestSessionAPI","test_loginAPI","",""
"Test case for login attempt with missing credentials.","2020","test_login_with_missing_credentials_coaches","tests","Wed Apr 09 15:13:04 IST 2025","passed","Wed Apr 09 15:13:06 IST 2025","TestSessionAPI","test_loginAPI","",""
"","7139","test_publishCourse","tests","Thu Jun 19 13:09:13 IST 2025","passed","Thu Jun 19 13:09:21 IST 2025","TestSessionAPI","test_learn","",""
"Test case for a successful login with valid credentials.","2081","test_successful_login_coaches","tests","Wed Apr 09 15:13:00 IST 2025","passed","Wed Apr 09 15:13:02 IST 2025","TestSessionAPI","test_loginAPI","",""
"","1021","test_forgetPassword_with_invalid_email","tests","Wed Apr 09 15:13:24 IST 2025","passed","Wed Apr 09 15:13:25 IST 2025","TestSessionAPI","test_loginAPI","",""
"Test case to check if the token changes with each login attempt.","4874","test_multiple_login_attempts_admin","tests","Wed Apr 09 15:13:18 IST 2025","passed","Wed Apr 09 15:13:23 IST 2025","TestSessionAPI","test_loginAPI","",""
"","6614","test_addCourseTo_program","tests","Thu Jun 19 13:09:21 IST 2025","passed","Thu Jun 19 13:09:27 IST 2025","TestSessionAPI","test_learn","",""
"Test case for a successful login with valid credentials.","2723","test_successful_login_admin","tests","Wed Apr 09 15:13:11 IST 2025","passed","Wed Apr 09 15:13:14 IST 2025","TestSessionAPI","test_loginAPI","",""
"","6086","test_addContent_toChapter","tests","Thu Jun 19 13:09:07 IST 2025","passed","Thu Jun 19 13:09:13 IST 2025","TestSessionAPI","test_learn","",""
"","6075","test_addChapter","tests","Thu Jun 19 13:08:55 IST 2025","passed","Thu Jun 19 13:09:01 IST 2025","TestSessionAPI","test_learn","",""
"","1031","test_logout","tests","Wed Apr 09 15:13:32 IST 2025","passed","Wed Apr 09 15:13:33 IST 2025","TestSessionAPI","test_loginAPI","",""
